kernel,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_LDM,PAPI_L2_LDM
ludcmp,3195530011,344986587,3010749940,340548983
ludcmp,3155475335,345384841,2978650815,340840360
ludcmp,3167145920,344375489,2985271235,340168808
ludcmp,3125465337,344480173,2951388851,339854414
ludcmp,3171217152,344414819,2991739129,339995325
ludcmp,3194710536,344524385,3011918134,340388215
ludcmp,3147128988,344933448,2968923325,340491961
ludcmp,3138257835,344831144,2963052190,340383787
ludcmp,3195302733,344807277,3007974445,340669821
trisolv,259543,315780,7433,4139
trisolv,261966,314719,7440,4087
trisolv,259656,314690,7486,4145
trisolv,259602,314834,7424,4186
trisolv,259553,381814,7321,4241
trisolv,259568,382982,7444,4254
trisolv,259479,381505,7413,4248
trisolv,259611,382371,7465,4256
trisolv,259425,381495,7333,4257
trisolv,259457,311122,7427,4123
deriche,49208359,11157222,27568952,1911882
deriche,49266020,11964449,27616095,2053944
deriche,49113442,11618328,27601998,1803004
deriche,49049774,11842811,27600577,1935189
deriche,49075030,11755090,27581428,1900600
deriche,49067533,12141418,27581874,2091158
deriche,49054064,11682531,27581838,1858450
deriche,49048727,11717761,27643204,1883605
deriche,49064127,11905998,27588634,1952810
deriche,49057404,11738803,27619010,1933433
floyd-warshall,1384657801,1878771777,222249333,15960144
floyd-warshall,1384756271,1746708314,231870370,16103800
floyd-warshall,1384616963,1797367917,226475366,15157028
floyd-warshall,1385441614,1852140782,222575954,15339189
floyd-warshall,1384709179,1893502329,233057262,16105623
floyd-warshall,1385355988,1881867114,219840789,16380793
floyd-warshall,1384683920,1893881913,232636283,16032565
floyd-warshall,1384614333,1866078819,221121214,16318211
floyd-warshall,1384692675,1896131218,225058426,15822540
floyd-warshall,1384642927,1892325981,224240020,16309850
nussinov,2906092616,162306569,2767754456,161352776
nussinov,2914395123,162456668,2776161727,161451947
nussinov,2922569762,162334198,2784337144,161326240
nussinov,2929336423,162348408,2791036557,161407651
nussinov,2925674678,162297863,2787441378,161331175
nussinov,2926144007,162319402,2787914694,161325681
nussinov,2927802155,162320025,2789360478,161391848
nussinov,2909235293,162498813,2770987171,161443406
nussinov,2940332369,162168447,2801939191,161215119
nussinov,2918193538,162438186,2780006030,161398948
adi,2011010107,598756720,1131028651,87459541
adi,2010285175,605054776,1122839595,87641592
adi,2006572223,598574063,1097986341,87130887
adi,2014388692,604119633,1107805663,86460673
adi,2006659051,600460556,1103158834,87043052
adi,2009887265,604563760,1117055229,87553746
adi,2009048068,597801752,1119738182,87962257
adi,2009254128,603326620,1108950438,87869526
adi,2007732481,604300474,1127943759,88050452
adi,2015383206,602051230,1116380698,87380110
fdtd-2d,605986947,819486707,45996801,6078863
fdtd-2d,603116378,821798468,45071672,6164099
fdtd-2d,604165591,823586441,41743774,6310148
fdtd-2d,600254002,819299822,43741149,6092248
fdtd-2d,598188298,816568849,40028061,6047063
fdtd-2d,593422698,819251050,39254117,6035415
fdtd-2d,596680132,820438663,37937648,5521446
fdtd-2d,596274874,818348100,42803935,6425011
fdtd-2d,602318344,817108442,41855232,6075236
fdtd-2d,608801978,823087486,45649282,6183591
heat-3d,841171842,601453836,2350560,616212
heat-3d,841201467,591688456,2376601,591053
heat-3d,841182695,606657094,2361884,599239
heat-3d,841168414,571017908,2350386,588092
heat-3d,841187775,593503489,2360852,563593
heat-3d,841191452,581903855,2363592,561386
heat-3d,841159202,578363057,2346839,552788
heat-3d,841191161,592231719,2445487,557687
heat-3d,841177191,591609793,2354509,554611
heat-3d,841181705,598234065,2349830,595600
jacobi-1d,1607,3,38,0
jacobi-1d,1569,18446744073709551607,45,0
jacobi-1d,1143,18446744073709551608,44,0
jacobi-1d,1589,0,35,0
jacobi-1d,1152,18446744073709551609,43,0
jacobi-1d,1606,18446744073709551611,36,0
jacobi-1d,1118,0,43,0
jacobi-1d,1595,0,39,0
jacobi-1d,1571,0,44,0
jacobi-1d,1130,6,41,0
jacobi-2d,844674833,588861589,3518019,474143
jacobi-2d,844667501,580633290,3391615,483326
jacobi-2d,844671638,593348055,3301334,465795
jacobi-2d,844666122,603059176,3503647,467307
jacobi-2d,844669747,597117704,3330808,473945
jacobi-2d,844661615,573592016,3460396,483159
jacobi-2d,844669426,594531212,3188649,476513
jacobi-2d,844662804,591435860,3329683,479711
jacobi-2d,844671784,576233628,3496690,478151
jacobi-2d,844654581,582032305,3472042,477069
seidel-2d,749161442,344935822,697336,151790
seidel-2d,749150150,336615439,681502,161839
seidel-2d,749144009,339418686,694988,156257
seidel-2d,749139755,342583351,698277,150627
seidel-2d,749146707,332600260,696627,148185
seidel-2d,749140840,330066192,708684,156596
seidel-2d,749157502,335614009,696552,155240
seidel-2d,749159589,342440812,699711,161758
seidel-2d,749144327,331168871,699083,155081
seidel-2d,749152148,345573829,674803,143861
